dataset,algorithm,k,n_rows,n_features,inertia,silhouette,adjusted_rand_vs_label,linkage,eps,min_samples,n_clusters_excluding_noise,noise_points,noise_pct,silhouette_excluding_noise
seeds,kmeans,3.0,210,7,430.81688733513704,0.40290797364141284,0.8111586353824746,,,,,,,
spiral,dbscan,,312,2,,,1.0,,0.3,5.0,3.0,0.0,0.0,0.001393007226841032
spiral_comparison,kmeans,3.0,312,2,247.12346572987298,0.35960789601573384,-0.00587665465861266,,,,,,,
user_knowledge_sample90,hierarchical,4.0,90,5,,0.2033497185204713,0.1305120742546999,ward,,,,,,
